Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Paul Warfield*+,MIA,WR,29,14,14,0,0,0,0,0,9,115,12.78,0,43,996,23.16,11,3,,11,,,174,217.1,224.6,195.6,118,1,1
Otis Taylor*+,KAN,WR,29,14,14,0,0,0,0,0,1,25,25.00,1,57,1110,19.47,7,0,,8,,,162,218.5,221.5,190.0,104,2,2
Greg Landry*,DET,QB,25,14,14,136,261,2237,16,13,76,530,6.97,3,0,0,,0,5,,3,,,193,193.5,215.0,206.5,102,1,3
Steve Owens*,DET,FB,24,14,13,0,0,0,0,0,246,1035,4.21,8,32,350,10.94,2,5,,10,,,194,225.5,234.0,209.5,89,1,4
Fred Biletnikoff*,OAK,WR,28,14,14,0,0,0,0,0,0,0,,0,61,929,15.23,9,1,,9,,,146,206.9,210.4,176.4,86,3,5
Randy Vataha,NWE,WR,23,14,13,0,0,0,0,0,0,0,,0,51,872,17.10,9,0,,9,,,141,192.2,195.2,166.7,80,4,6
Roger Staubach*,DAL,QB,29,13,10,126,211,1882,15,4,41,343,8.37,2,0,0,,0,6,,2,,,168,167.6,180.6,171.6,73,2,7
Leroy Kelly*,CLE,RB,29,14,14,1,4,23,0,0,234,865,3.70,10,25,252,10.08,2,7,,12,,,178,202.6,212.1,190.1,71,2,8
John Hadl,SDG,QB,31,14,14,233,431,3075,21,25,18,75,4.17,1,0,0,,0,4,,1,,,167,166.5,196.5,191.5,71,3,9
Floyd Little*,DEN,RB,29,14,13,0,1,0,0,0,284,1133,3.99,6,26,255,9.81,0,4,,6,,,171,196.8,204.8,183.8,63,3,10
Duane Thomas,DAL,RB,24,11,10,0,1,0,0,0,175,793,4.53,11,13,153,11.77,2,3,,13,,,170,182.6,190.1,176.1,62,4,11
Bob Grim*,MIN,WR,26,14,14,0,1,0,0,0,6,127,21.17,0,45,691,15.36,7,0,,7,,,124,168.8,174.8,146.3,60,5,12
Larry Csonka*+,MIA,FB,25,14,14,0,0,0,0,0,195,1051,5.39,7,13,113,8.69,1,0,,8,,,164,177.4,183.4,170.9,56,5,13
Ted Kwalick*,SFO,TE,24,14,14,0,0,0,0,0,6,62,10.33,0,52,664,12.77,5,2,,5,,,101,152.6,156.6,126.6,56,1,14
Bob Tucker,NYG,TE,26,12,12,0,0,0,0,0,1,1,1.00,0,59,791,13.41,4,3,,4,,,100,159.2,163.7,129.7,55,2,15
John Brodie,SFO,QB,36,14,14,208,387,2642,18,24,14,45,3.21,3,0,0,,0,3,,3,,,149,149.2,177.7,173.2,51,4,16
Jim Mitchell,ATL,TE,24,13,13,0,0,0,0,0,4,25,6.25,0,33,593,17.97,5,3,,6,,,95,127.8,132.3,111.3,49,3,17
Terry Bradshaw,PIT,QB,23,14,13,203,373,2259,13,22,53,247,4.66,5,0,0,,0,7,,5,,,146,146.1,177.6,168.1,48,5,18
Roman Gabriel,RAM,QB,31,14,14,180,352,2238,17,10,18,48,2.67,2,0,0,,0,9,,2,,,145,145.3,162.8,155.3,47,7,19
Jim Plunkett,NWE,QB,24,14,14,158,328,2158,19,16,45,210,4.67,0,0,0,,0,6,,0,,,145,145.3,170.3,161.3,47,6,20
Gene Washington*,SFO,WR,24,14,14,0,0,0,0,0,0,0,,0,46,884,19.22,4,0,,4,,,112,158.4,161.4,135.4,47,6,21
Ken Burrow,ATL,WR,23,14,14,0,0,0,0,0,1,5,5.00,0,33,741,22.45,6,1,,6,,,110,142.6,146.1,126.1,44,7,22
Charlie Joiner,HOU,WR,24,14,13,0,0,0,0,0,0,0,,0,31,681,21.97,7,1,,7,,,109,140.1,143.6,124.6,44,8,23
Norm Bulaich*,BAL,FB,25,13,12,0,0,0,0,0,152,741,4.88,8,25,229,9.16,2,4,,10,,,153,178.0,186.0,165.5,43,6,24
Bob Griese*+,MIA,QB,26,14,13,145,263,2089,19,9,26,82,3.15,0,0,0,,0,9,,0,,,141,140.8,157.3,149.8,42,8,25
Dave Parks,NOR,TE,30,14,13,0,0,0,0,0,2,-2,-1.00,0,35,568,16.23,5,0,,5,,,87,121.6,124.6,104.1,40,5,26
Raymond Chester*,OAK,TE,23,14,14,0,0,0,0,0,3,5,1.67,0,28,442,15.79,7,0,,7,,,87,114.7,117.7,100.7,40,4,27
George Farmer,CHI,WR,23,14,14,0,0,0,0,0,1,11,11.00,0,46,737,16.02,5,1,,5,,,104,149.8,153.3,126.8,38,9,28
Ed Podolak,KAN,RB,24,13,11,2,2,42,0,0,184,708,3.85,9,36,252,7.00,0,5,,9,,,147,182.7,191.2,164.7,36,7,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Brockington*+,GNB,FB,23,14,14,0,0,0,0,0,216,1105,5.12,4,14,98,7.00,1,4,,5,,,146,160.3,165.3,153.3,35,8,30
John Gilliam,STL,WR,26,14,14,0,0,0,0,0,2,16,8.00,0,42,837,19.93,3,2,,3,,,101,143.3,147.3,122.3,35,10,31
Rich Caster,NYJ,TE,23,14,14,0,0,0,0,0,2,10,5.00,0,26,454,17.46,6,0,,6,,,82,108.4,111.4,95.4,35,6,32
