player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
DeAngelo Williams,CAR,RB,25.0,16,16,0,0,0,0,0,273,1515,5.55,18,30.0,22,121,5.5,2,0,0,20,1.0,0.0,286.0,307.6,313.6,296.6,139.0,1.0,1.0
Michael Turner,ATL,RB,26.0,16,16,0,0,0,0,0,376,1699,4.52,17,9.0,6,41,6.83,0,3,2,17,0.0,0.0,272.0,278.0,283.0,275.0,126.0,2.0,2.0
Drew Brees,NOR,QB,29.0,16,16,413,635,5069,34,17,22,-1,-0.05,0,0.0,0,0,0.0,0,6,1,0,0.0,0.0,303.0,302.7,323.7,319.7,99.0,1.0,3.0
Larry Fitzgerald,ARI,WR,25.0,16,16,0,0,0,0,0,0,0,0.0,0,154.0,96,1431,14.91,12,1,0,12,0.0,0.0,215.0,311.1,314.1,263.1,99.0,1.0,4.0
Matt Forte,CHI,RB,23.0,16,16,0,0,0,0,0,316,1238,3.92,8,76.0,63,477,7.57,4,1,1,12,0.0,0.0,242.0,304.5,311.5,273.0,95.0,3.0,5.0
Adrian Peterson,MIN,RB,23.0,16,15,0,0,0,0,0,363,1760,4.85,10,39.0,21,125,5.95,0,9,4,10,0.0,0.0,241.0,261.5,271.5,251.0,94.0,4.0,6.0
Thomas Jones,NYJ,RB,30.0,16,14,0,0,0,0,0,290,1312,4.52,13,42.0,36,207,5.75,2,2,1,15,0.0,0.0,240.0,275.9,282.9,257.9,94.0,5.0,7.0
Andre Johnson,HOU,WR,27.0,16,16,0,0,0,0,0,0,0,0.0,0,171.0,115,1575,13.7,8,1,1,8,1.0,0.0,206.0,320.5,324.5,263.0,89.0,2.0,8.0
Calvin Johnson,DET,WR,23.0,16,16,0,0,0,0,0,3,-1,-0.33,0,150.0,78,1331,17.06,12,3,2,12,1.0,0.0,203.0,281.0,286.0,242.0,86.0,3.0,9.0
Tony Gonzalez,KAN,TE,32.0,16,16,0,0,0,0,0,0,0,0.0,0,155.0,96,1058,11.02,10,0,0,10,0.0,0.0,166.0,261.8,264.8,213.8,85.0,1.0,10.0
Aaron Rodgers,GNB,QB,25.0,16,16,341,536,4038,28,13,56,207,3.7,4,0.0,0,0,0.0,0,10,4,4,0.0,2.0,288.0,288.2,311.2,301.2,84.0,2.0,11.0
LaDainian Tomlinson,SDG,RB,29.0,16,16,0,0,0,0,0,292,1110,3.8,11,77.0,52,426,8.19,1,1,0,12,0.0,0.0,226.0,277.6,283.6,251.6,79.0,6.0,12.0
Steve Slaton,HOU,RB,22.0,16,15,0,0,0,0,0,268,1282,4.78,9,59.0,50,377,7.54,1,3,2,10,0.0,0.0,222.0,271.9,279.9,246.9,76.0,7.0,13.0
Philip Rivers,SDG,QB,27.0,16,16,312,478,4009,34,11,31,84,2.71,0,0.0,0,0,0.0,0,8,4,0,0.0,2.0,279.0,278.8,296.8,289.8,75.0,3.0,14.0
Jay Cutler,DEN,QB,25.0,16,16,384,616,4526,25,18,57,200,3.51,2,0.0,0,0,0.0,0,5,2,2,1.0,1.0,277.0,277.0,303.0,295.0,73.0,4.0,15.0
Maurice JonesDrew,JAX,RB,23.0,16,3,0,0,0,0,0,197,824,4.18,12,75.0,62,565,9.11,2,6,2,14,0.0,0.0,219.0,280.9,288.9,249.9,73.0,8.0,16.0
Clinton Portis,WAS,RB,27.0,16,16,0,0,0,0,0,342,1487,4.35,9,35.0,28,218,7.79,0,3,3,9,0.0,0.0,219.0,246.5,255.5,232.5,72.0,9.0,17.0
Brian Westbrook,PHI,RB,29.0,14,14,0,0,0,0,0,233,936,4.02,9,74.0,54,402,7.44,5,2,1,14,0.0,0.0,216.0,269.8,276.8,242.8,70.0,10.0,18.0
Greg Jennings,GNB,WR,25.0,16,15,0,0,0,0,0,0,0,0.0,0,140.0,80,1292,16.15,9,1,0,9,1.0,0.0,185.0,265.2,268.2,225.2,69.0,4.0,19.0
Steve Smith Sr,CAR,WR,29.0,14,14,0,0,0,0,0,5,40,8.0,0,129.0,78,1421,18.22,6,1,1,6,0.0,0.0,180.0,258.1,262.1,219.1,64.0,5.0,20.0
Chris Johnson,TEN,RB,23.0,15,14,0,0,0,0,0,251,1228,4.89,9,62.0,43,260,6.05,1,1,1,10,0.0,0.0,207.0,249.8,256.8,228.3,61.0,11.0,21.0
Roddy White,ATL,WR,27.0,16,15,0,0,0,0,0,2,4,2.0,0,148.0,88,1382,15.7,7,1,2,7,0.0,0.0,177.0,264.6,269.6,220.6,60.0,6.0,22.0
Kurt Warner,ARI,QB,37.0,16,16,401,598,4583,30,14,18,-2,-0.11,0,0.0,0,0,0.0,0,11,7,0,0.0,1.0,263.0,263.1,287.1,277.1,59.0,5.0,23.0
Brandon Jacobs,NYG,RB,26.0,13,13,0,0,0,0,0,219,1089,4.97,15,12.0,6,36,6.0,0,3,1,15,0.0,0.0,201.0,206.5,210.5,203.5,54.0,12.0,24.0
Anquan Boldin,ARI,WR,28.0,12,11,0,0,0,0,0,9,67,7.44,0,127.0,89,1038,11.66,11,4,3,11,0.0,0.0,171.0,259.5,265.5,215.0,54.0,7.0,25.0
Peyton Manning,IND,QB,32.0,16,16,371,555,4002,27,12,20,21,1.05,1,0.0,0,0,0.0,0,1,0,1,0.0,1.0,254.0,254.2,269.2,266.2,50.0,6.0,26.0
Terrell Owens,DAL,WR,35.0,16,16,0,0,0,0,0,7,33,4.71,0,140.0,69,1052,15.25,10,1,1,10,0.0,0.0,167.0,235.5,239.5,201.0,50.0,9.0,27.0
Antonio Bryant,TAM,WR,27.0,16,15,0,0,0,0,0,2,22,11.0,0,138.0,83,1248,15.04,7,1,1,7,0.0,0.0,167.0,250.0,254.0,208.5,50.0,8.0,28.0
Randy Moss,NWE,WR,31.0,16,16,0,0,0,0,0,2,0,0.0,0,125.0,69,1008,14.61,11,3,2,11,0.0,0.0,163.0,231.8,236.8,197.3,46.0,10.0,29.0
Matt Cassel,NWE,QB,26.0,16,15,327,516,3693,21,11,73,270,3.7,2,0.0,0,0,0.0,0,7,4,2,0.0,2.0,245.0,244.7,265.7,255.7,41.0,7.0,30.0
Frank Gore,SFO,RB,25.0,14,14,0,0,0,0,0,240,1036,4.32,6,66.0,43,373,8.67,2,6,2,8,1.0,0.0,187.0,229.9,237.9,208.4,41.0,13.0,31.0
Vincent Jackson,SDG,WR,25.0,16,16,0,0,0,0,0,4,69,17.25,0,101.0,59,1098,18.61,7,1,1,7,0.0,0.0,157.0,215.7,219.7,186.2,40.0,11.0,32.0
Brandon Marshall,DEN,WR,24.0,15,15,0,0,0,0,0,2,-4,-2.0,0,181.0,104,1265,12.16,6,4,3,6,0.0,0.0,156.0,260.1,266.1,208.1,40.0,12.0,33.0
Jason Witten,DAL,TE,26.0,16,16,1,1,42,0,0,0,0,0.0,0,121.0,81,952,11.75,4,0,0,4,0.0,0.0,121.0,201.9,204.9,161.4,40.0,2.0,34.0
Donovan McNabb,PHI,QB,32.0,16,16,345,571,3916,23,11,39,147,3.77,2,0.0,0,0,0.0,0,7,5,2,0.0,0.0,243.0,243.3,265.3,254.3,39.0,8.0,35.0
Marshawn Lynch,BUF,RB,22.0,15,15,0,0,0,0,0,250,1036,4.14,8,67.0,47,300,6.38,1,2,1,9,0.0,0.0,186.0,232.6,239.6,209.1,39.0,14.0,36.0
Steven Jackson,STL,RB,25.0,12,11,0,0,0,0,0,253,1042,4.12,7,62.0,40,379,9.48,1,5,3,8,0.0,0.0,184.0,224.1,233.1,204.1,38.0,15.0,37.0
Dallas Clark,IND,TE,29.0,15,15,0,0,0,0,0,0,0,0.0,0,107.0,77,848,11.01,6,2,1,6,0.0,0.0,119.0,195.8,199.8,157.3,38.0,3.0,38.0
Reggie Wayne,IND,WR,30.0,16,16,0,0,0,0,0,0,0,0.0,0,131.0,82,1145,13.96,6,0,0,6,1.0,0.0,153.0,234.5,237.5,193.5,36.0,13.0,39.0
Antonio Gates,SDG,TE,28.0,16,16,0,0,0,0,0,0,0,0.0,0,92.0,60,704,11.73,8,1,1,8,0.0,0.0,116.0,176.4,180.4,146.4,36.0,4.0,40.0
Ronnie Brown,MIA,RB,27.0,16,13,2,3,41,1,0,214,916,4.28,10,43.0,33,254,7.7,0,1,1,10,0.0,0.0,181.0,213.6,220.6,197.1,34.0,16.0,41.0
Lance Moore,NOR,WR,25.0,16,6,0,1,0,0,1,0,0,0.0,0,121.0,79,928,11.75,10,1,0,10,0.0,0.0,151.0,229.8,233.8,191.3,34.0,14.0,42.0
Marion Barber III,DAL,RB,25.0,15,13,0,0,0,0,0,238,885,3.72,7,61.0,52,417,8.02,2,7,3,9,0.0,0.0,178.0,230.2,239.2,204.2,32.0,17.0,43.0
Santana Moss,WAS,WR,29.0,16,16,0,0,0,0,0,1,27,27.0,0,138.0,79,1044,13.22,6,1,1,7,0.0,0.0,147.0,226.1,230.1,186.6,31.0,15.0,44.0
